"","Seed.code","Tree.code","Island","Tree.species.code","Order.x","Family.x","Genus.x","Species.x","Latitude","Longitude","Site","Date..DD.MM.YYYY.","Type.of.sample..F.fruit.S.seed","Successional.Stage..1.immature.2.mature.3.rotten.4.all.preceding","Fruits.collected.from..G.ground.T.tree","Fruit.syndrome","Total.number.of.fruits.collected","Total.number.of.seeds","Weight.of.all.seeds.g","Date.opening.seed..dd.mm.yy.","Number.of.fruits.predated","Holes.visable","Frass.visable","Percentage.fruits.predated","Insect.code","Date.emerged..for.R.only..DD.MM.YY.","Species.code","Order.y","Family.y","Subfamily","Genus.y","Species.y","Guild","Life.stage..L.larva.A.adult.P.pupae","BIN","Host.from.lit","Reference","Found.in.box.with","Suggested.host"
"1","SEEDGUA_0002","TREEGUA_0002","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54356699,144.934006,"Anao","06/09/2017","F",2,"T","A1.1",9,11.7,7.8285,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_1958","22/11/2017","PSOSP2","Psocoptera","Unknown","Unknown","Unknown","sp.2","UK","A","","","","",""
"3","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_1959","22/11/2017","PSOSP2","Psocoptera","Unknown","Unknown","Unknown","sp.2","UK","A","","","","",""
"4","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_1960","22/11/2017","PSOSP2","Psocoptera","Unknown","Unknown","Unknown","sp.2","UK","A","","","","",""
"5","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2207","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"6","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2208","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"7","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2209","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"8","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2210","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"9","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2211","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"10","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2212","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"11","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2213","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"12","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2214","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"13","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2215","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"14","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2216","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"15","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2217","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"16","SEEDGUA_0003","TREEGUA_0003","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54355399,144.933967,"Anao","06/09/2017","F",2,"T","A1.1",4,5.2,3.7346,"18/12/1017",0,"N","N",0,"INSECTGUA_2218","13/10/2017","ISOSP1","Isoptera","Unknown","Unknown","Unknown","sp.1","UK","A","","","","",""
"17","SEEDGUA_0004","TREEGUA_0004","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54356699,144.933972,"Anao","06/09/2017","F",2,"T","A1.1",11,14.3,13.2293,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1390","14/09/2017","CARMU","Coleoptera","Nitidulidae","Carpophilinae","Carpophilus","mutilatus","UK","A","BOLD:ACD5031","","","",""
"19","SEEDGUA_0005","TREEGUA_0005","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54354402,144.934013,"Anao","06/09/2017","F",2,"T","A1.1",20,26,23.7664,"18/12/1017",2,"Y","Y",0.1,"INSECTGUA_1384","14/09/2017","NITSP1","Coleoptera","Nitidulidae","","","sp.1","SC","A","","","","",""
